Numarul Circumscriptiei,Numarul total de alegatori,Raionul RO,Raionul RU,Localitatea/Adresa RO,Localitatea/Adresa RU,Numarul sectiei de vot,Adresa sectiei de vot
3,64857,Raionul EDINEȚ,Район Единец,BRÎNZENI,Брынзень,,
3,64857,Raionul EDINEȚ,Район Единец,BURLĂNEŞTI,Бурлэнешть,,
3,64857,Raionul EDINEȚ,Район Единец,CEPELEUŢI,Чепелеуць  ,,
3,64857,Raionul EDINEȚ,Район Единец,CHETROŞICA NOUĂ,Кетрошика Ноуэ  ,,
3,64857,Raionul EDINEȚ,Район Единец,CONSTANTINOVCA,Константиновка  ,,
3,64857,Raionul EDINEȚ,Район Единец,CORPACI,Корпач  ,,
3,64857,Raionul EDINEȚ,Район Единец,CUCONEȘTII NOI,Куконештий Ной,,
3,64857,Raionul EDINEȚ,Район Единец,FETEȘTI,Фетешть,,
3,64857,Raionul EDINEȚ,Район Единец,GAȘPAR,Гашпар  ,,
3,64857,Raionul EDINEȚ,Район Единец,GOLENI,Голень ,,
3,64857,Raionul EDINEȚ,Район Единец,GORDINEȘTI,Гординешть  ,,
3,64857,Raionul EDINEȚ,Район Единец,HANCĂUȚI,Ханкэуць  ,,
3,64857,Raionul EDINEȚ,Район Единец,HINCĂUȚI,Хинкэуць  ,,
3,64857,Raionul EDINEȚ,Район Единец,HLINAIA,Хлиная,,
3,64857,Raionul EDINEȚ,Район Единец,LOPATNIC,Лопатник,,
3,64857,Raionul EDINEȚ,Район Единец,PARCOVA,Паркова,,
3,64857,Raionul EDINEȚ,Район Единец,ROTUNDA,Ротунда  ,,
3,64857,Raionul EDINEȚ,Район Единец,RUSENI,Русень  ,,
3,64857,Raionul EDINEȚ,Район Единец,STOLNICENI,Столничень,,
3,64857,Raionul EDINEȚ,Район Единец,ȘOFRÎNCANI,Шофрынкань  ,,
3,64857,Raionul EDINEȚ,Район Единец,TEREBNA,Теребна ,,
3,64857,Raionul EDINEȚ,Район Единец,TÎRNOVA,Тырнова  ,,
3,64857,Raionul EDINEȚ,Район Единец,TRINCA,Тринка  ,,
3,64857,Raionul EDINEȚ,Район Единец,VIIȘOARA,Виишоара,,
3,64857,Raionul EDINEȚ,Район Единец,ZĂBRICENI,Зэбричень,,
4,64337,Raionul RÎȘCANI,Район Рышкань,or. RÎȘCANI,г. Рышкань ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,ALEXĂNDREȘTI,Алексэндрешть   ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,BOROSENII NOI,Боросений Ной,,
4,64337,Raionul RÎȘCANI,Район Рышкань,DURUITOAREA NOUĂ,Дуруитоаря Ноуэ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,GRINĂUȚI,Гринэуць,,
4,64337,Raionul RÎȘCANI,Район Рышкань,HILIUȚI,Хилиуць,,
4,64337,Raionul RÎȘCANI,Район Рышкань,HORODIȘTE,Хородиште  ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,MIHĂILENI,Михэйлень  ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,NIHORENI,Нихорень,,
4,64337,Raionul RÎȘCANI,Район Рышкань,PÎRJOTA,Пыржота  ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,POCIUMBĂUȚI,Почумбэуць ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,POCIUMBENI,Почумбень  ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,RECEA,Реча,,
4,64337,Raionul RÎȘCANI,Район Рышкань,STURZENI,Стурзень  ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,ȘAPTEBANI,Шаптебань  ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,ȘUMNA,Шумна  ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,VASILEUȚI,Василеуць ,,
4,64337,Raionul RÎȘCANI,Район Рышкань,VĂRATIC,Вэратик,,
4,64337,Raionul RÎȘCANI,Район Рышкань,ZĂICANI,Зэикань,,
4,64337,Raionul DROCHIA,Район Дрокия,ANTONEUCA,Антонеука  ,,
4,64337,Raionul DROCHIA,Район Дрокия,FÎNTÎNIŢA,Фынтыница  ,,
4,64337,Raionul DROCHIA,Район Дрокия,HĂSNĂȘENII NOI,Хэснэшений Ной ,,
4,64337,Raionul DROCHIA,Район Дрокия,MICIURIN,Мичурин  ,,
4,64337,Raionul DROCHIA,Район Дрокия,NICORENI,Никорень,,
4,64337,Raionul DROCHIA,Район Дрокия,OCHIUL ALB,Окюл Алб,,
4,64337,Raionul DROCHIA,Район Дрокия,PELINIA,Пелиния  ,,
4,64337,Raionul DROCHIA,Район Дрокия,PERVOMAISCOE,Первомайское  ,,
4,64337,Raionul DROCHIA,Район Дрокия,ŢARIGRAD,Цариград,,
4,64337,Raionul DONDUȘENI,Район Дондушень,BARABOI,Барабой  ,,
4,64337,Raionul DONDUȘENI,Район Дондушень,FRASIN,Фрасин  ,,
4,64337,Raionul DONDUȘENI,Район Дондушень,TÎRNOVA,Тырнова ,,
5,63826,Raionul GLODENI,Район Глодень,or. GLODENI,г. Глодень,,
5,63826,Raionul GLODENI,Район Глодень,BALATINA,Балатина,,
5,63826,Raionul GLODENI,Район Глодень,CAJBA,Кажба  ,,
5,63826,Raionul GLODENI,Район Глодень,CAMENCA,Каменка  ,,
5,63826,Raionul GLODENI,Район Глодень,CIUCIULEA,Чучуля  ,,
5,63826,Raionul GLODENI,Район Глодень,COBANI,Кобань  ,,
5,63826,Raionul GLODENI,Район Глодень,CUHNEȘTI,Кухнешть  ,,
5,63826,Raionul GLODENI,Район Глодень,DANU,Дану,,
5,63826,Raionul GLODENI,Район Глодень,DUȘMANI,Душмань  ,,
5,63826,Raionul GLODENI,Район Глодень,FUNDURII NOI,Фундурий Ной  ,,
5,63826,Raionul GLODENI,Район Глодень,HÎJDIENI,Хыждиень  ,,
5,63826,Raionul GLODENI,Район Глодень,IABLOANA,Яблоана,,
5,63826,Raionul GLODENI,Район Глодень,LIMBENII NOI,Лимбений Ной  ,,
5,63826,Raionul GLODENI,Район Глодень,LIMBENII VECHI,Лимбений Векь   ,,
5,63826,Raionul GLODENI,Район Глодень,PETRUNEA,Петруня  ,,
5,63826,Raionul GLODENI,Район Глодень,STURZOVCA,Стурзовка  ,,
5,63826,Raionul GLODENI,Район Глодень,USTIA,Устия  ,,
